Incident Datetime,Incident Date,Incident Time,Incident Year,Incident Day of Week,Report Datetime,Row ID,Incident ID,Incident Number,CAD Number,Report Type Code,Report Type Description,Filed Online,Incident Code,Incident Category,Incident Subcategory,Incident Description,Resolution,Intersection,CNN,Police District,Analysis Neighborhood,Supervisor District,Latitude,Longitude,point,SF Find Neighborhoods,Current Police Districts,Current Supervisor Districts,Analysis Neighborhoods,HSOC Zones as of 2018-06-05,OWED Public Spaces,Central Market/Tenderloin Boundary Polygon - Updated,Parks Alliance CPSI (27+TL sites),ESNCAG - Boundary File,"Areas of Vulnerability, 2016"
15/08/20 8:56,15/08/20,8:56,2020,Saturday,15/08/20 8:56,95300907041,953009,200474239,,VS,Vehicle Supplement,,7041,Recovered Vehicle,Recovered Vehicle,"Vehicle, Recovered, Auto",Open or Active,,,Out of SF,,,,,,,,,,,,,,,
15/08/20 9:40,15/08/20,9:40,2020,Saturday,15/08/20 18:21,95322706244,953227,206121692,,II,Coplogic Initial,true,6244,Larceny Theft,Larceny - From Vehicle,"Theft, From Locked Vehicle, >$950",Open or Active,,,Park,,,,,,,,,,,,,,,
24/02/18 22:00,24/02/18,22:00,2018,Saturday,02/03/18 10:13,64174871000,641748,186051531,,II,Coplogic Initial,true,71000,Lost Property,Lost Property,Lost Property,Open or Active,,,Park,,,,,,,,,,,,,,,
16/08/20 3:13,16/08/20,3:13,2020,Sunday,16/08/20 3:14,95319604083,953196,200491669,202290313,II,Initial,,4083,Assault,Aggravated Assault,"Firearm, Discharging in Grossly Negligent Manner",Open or Active,23RD ST \ ARKANSAS ST,23642000,Bayview,Potrero Hill,10,37.75482658,-122.3977287,"(37.75482657770952, -122.39772873392515)",54,2,9,26,,,,,,2
16/08/20 3:38,16/08/20,3:38,2020,Sunday,16/08/20 4:56,95326228100,953262,200491738,202290404,II,Initial,,28100,Malicious Mischief,Vandalism,"Malicious Mischief, Breaking Windows",Open or Active,VALENCIA ST \ 15TH ST,24377000,Mission,Mission,9,37.76653958,-122.4220438,"(37.76653957529556, -122.42204381448558)",53,3,2,20,3,,,,,2
16/08/20 13:40,16/08/20,13:40,2020,Sunday,16/08/20 13:56,95336264020,953362,200492463,202291631,II,Initial,,64020,Non-Criminal,Other,Mental Health Detention,Open or Active,04TH ST \ MINNA ST,24631000,Southern,Financial District/South Beach,6,37.78404444,-122.4037118,"(37.78404443715923, -122.40371175457705)",32,1,10,8,,,,,,1
16/08/20 16:18,16/08/20,16:18,2020,Sunday,16/08/20 16:18,95335012010,953350,200492792,202292091,II,Initial,,12010,Weapons Offense,Weapons Offense,"Weapon, Carrying Concealed with Felony or Narcotics Conviction",Cite or Arrest Adult,ORTEGA ST \ 48TH AVE,27925000,Taraval,Sunset/Parkside,4,37.75100328,-122.5074162,"(37.751003283475306, -122.50741622958954)",39,10,7,35,,,,,,1
12/08/20 22:00,12/08/20,22:00,2020,Wednesday,15/08/20 8:30,95300674000,953006,200489880,202280827,II,Initial,,74000,Missing Person,Missing Adult,Missing Adult,Open or Active,FILLMORE ST \ TURK ST,25973000,Northern,Western Addition,5,37.78049626,-122.4321404,"(37.78049625961115, -122.43214039079034)",97,4,11,39,,,,,,2
14/08/20 14:00,14/08/20,14:00,2020,Friday,15/08/20 0:23,95321406244,953214,206121551,,II,Coplogic Initial,true,6244,Larceny Theft,Larceny - From Vehicle,"Theft, From Locked Vehicle, >$950",Open or Active,HEMLOCK ST \ LAGUNA ST,26523000,Northern,Japantown,5,37.78624658,-122.4282415,"(37.786246576578144, -122.42824149689217)",101,4,11,15,,,,,,2
16/08/20 11:13,16/08/20,11:13,2020,Sunday,16/08/20 11:13,95329661030,953296,200492350,202291130,II,Initial,,61030,Other,Other,"Death Report, Cause Unknown",Open or Active,HYDE ST \ CALIFORNIA ST,25252000,Central,Nob Hill,3,37.79097319,-122.4173913,"(37.790973190511274, -122.41739133606869)",16,6,3,21,,,,,,1
